haafez_self,vjobs_self,applied_out_fl,driving_fl,interviewed_out_fl,employed_now_out_fl,outside_objective,outside_guess,outside_others_fl,min_wage_fl_per,children,outside_others_fl2,interview_sched_out_fl,matched,session,outside_self,semiseg_self,mwage_self,outside_others,semiseg_others,mwage_others,employed_wife,employed_now,education,age,secondary,num_knows_per,num_mfs_per,signed_up_number,outside_wedge,condition2,outside_confidence,employed_3mos_out_fl
1,1,0,0,0,0,26.78571428571429,30,15,NA,0,0.5,0,1,1,1,1,1,29,29,29,1,1,6,20,1,0.9666666666666667,0.9666666666666667,1,3.2142857142857117,0,5,0
1,1,0,0,0,0,26.78571428571429,30,15,NA,2,0.5,0,1,1,1,1,1,29,8,14,1,1,3,21,1,0.9666666666666667,0.9666666666666667,0,3.2142857142857117,1,1,0
1,0,0,0,0,0,26.78571428571429,9,25,NA,1,0.8333333333333334,0,1,3,1,1,1,8,8,6,1,1,3,20,1,0.3333333333333333,0.3333333333333333,0,-17.78571428571429,0,3,0
1,1,0,0,0,0,26.78571428571429,7,17,NA,1,0.5666666666666667,0,1,4,1,1,1,6,5,2,1,1,3,18,1,0.9666666666666667,0.9666666666666667,0,-19.78571428571429,0,2,0
0,0,0,0,0,0,26.78571428571429,1,11,NA,0,0.36666666666666664,0,1,4,1,1,1,0,29,0,0,0,3,19,1,0.9666666666666667,0.3333333333333333,0,-25.78571428571429,1,1,0
1,1,0,0,0,0,26.78571428571429,14,9,NA,0,0.3,0,1,5,1,1,1,13,15,14,1,1,6,23,1,0.16666666666666666,0.16666666666666666,0,-12.785714285714288,1,5,0
1,1,0,1,0,0,26.78571428571429,27,10,NA,2,0.3333333333333333,0,1,5,1,1,1,26,26,26,1,1,7,25,1,0.16666666666666666,0.16666666666666666,1,0.21428571428571175,1,5,0
1,1,0,0,0,0,26.78571428571429,30,7,NA,2,0.23333333333333334,0,1,6,1,1,1,29,29,29,0,1,3,22,1,0.9666666666666667,0.9666666666666667,1,3.2142857142857117,0,5,0
0,1,0,0,0,0,26.78571428571429,6,29,NA,3,0.9666666666666667,0,1,7,0,1,0,6,16,12,0,1,6,28,1,0.9666666666666667,0.16666666666666666,0,-20.78571428571429,0,2,0
1,1,0,0,0,0,26.78571428571429,30,25,NA,3,0.8333333333333334,0,1,11,1,1,1,29,29,3,1,1,7,30,1,0.9666666666666667,0.16666666666666666,0,3.2142857142857117,0,5,0
1,1,0,0,0,0,26.78571428571429,26,12,NA,2,0.4,0,1,12,1,1,1,25,24,26,1,1,6,30,1,0.9666666666666667,0.9666666666666667,0,-0.7857142857142883,1,4,0
1,1,0,0,0,0,26.78571428571429,10,10,NA,1,0.3333333333333333,0,1,13,1,1,1,9,22,4,1,1,6,27,1,0.16666666666666666,0.16666666666666666,0,-16.78571428571429,1,2,0
