age,employed_now,employed_wife,employed_out_wife,college_deg,children,condition,married,c_list,t_list,c_outside_self,c_outside_guess,c_outside_confidence,t_outside_guess,t_outside_confidence,t_outside_mean,c_outside_mean,c_outside_guess_frac,t_outside_guess_frac,c_outside_wedge,t_outside_wedge
28,2,0,0,TRUE,2,0,TRUE,2,NA,0,48.70000076293945,3,NA,NA,80.45547348826037,82.41758241758241,0.48700000762939455,NA,-33.717581654642956,NA
29,1,1,1,TRUE,3,1,TRUE,NA,4,NA,NA,NA,47.70000076293945,3,80.45547348826037,82.41758241758241,NA,0.47700000762939454,NA,-32.755472725320914
0,1,0,0,FALSE,7,1,TRUE,NA,2,NA,NA,NA,3.9000000953674316,1,80.45547348826037,82.41758241758241,NA,0.03900000095367431,NA,-76.55547339289294
31,1,0,0,FALSE,2,0,TRUE,1,NA,0,50.29999923706055,4,NA,NA,80.45547348826037,82.41758241758241,0.5029999923706054,NA,-32.11758318052186,NA
28,1,1,2,TRUE,3,0,TRUE,3,NA,1,60.69999694824219,4,NA,NA,80.45547348826037,82.41758241758241,0.6069999694824219,NA,-21.71758546934022,NA
27,1,0,0,FALSE,1,1,TRUE,NA,3,NA,NA,NA,50.099998474121094,4,80.45547348826037,82.41758241758241,NA,0.500999984741211,NA,-30.355475014139273
35,1,0,0,TRUE,2,0,TRUE,1,NA,1,78.4000015258789,3,NA,NA,80.45547348826037,82.41758241758241,0.784000015258789,NA,-4.017580891703503,NA
30,1,0,0,TRUE,1,1,TRUE,NA,3,NA,NA,NA,73.69999694824219,3,80.45547348826037,82.41758241758241,NA,0.7369999694824219,NA,-6.755476540018179
35,1,0,0,FALSE,3,0,TRUE,3,NA,1,65.19999694824219,4,NA,NA,80.45547348826037,82.41758241758241,0.6519999694824219,NA,-17.21758546934022,NA
22,1,1,2,TRUE,3,1,TRUE,NA,2,NA,NA,NA,20.299999237060547,3,80.45547348826037,82.41758241758241,NA,0.20299999237060548,NA,-60.15547425119982
24,1,1,1,TRUE,2,0,TRUE,3,NA,1,50.70000076293945,2,NA,NA,80.45547348826037,82.41758241758241,0.5070000076293946,NA,-31.717581654642956,NA
34,1,0,0,FALSE,1,1,TRUE,NA,3,NA,NA,NA,100,3,80.45547348826037,82.41758241758241,NA,1,NA,19.544526511739633
33,1,0,0,TRUE,3,0,TRUE,2,NA,1,25.700000762939453,3,NA,NA,80.45547348826037,82.41758241758241,0.2570000076293945,NA,-56.717581654642956,NA
33,1,0,0,TRUE,3,1,TRUE,NA,2,NA,NA,NA,63.599998474121094,4,80.45547348826037,82.41758241758241,NA,0.6359999847412109,NA,-16.855475014139273
30,2,1,1,TRUE,3,0,TRUE,2,NA,1,42.79999923706055,4,NA,NA,80.45547348826037,82.41758241758241,0.4279999923706055,NA,-39.61758318052186,NA
34,1,0,0,TRUE,5,1,TRUE,NA,0,NA,NA,NA,61.599998474121094,4,80.45547348826037,82.41758241758241,NA,0.615999984741211,NA,-18.855475014139273
27,1,0,0,FALSE,3,1,TRUE,NA,3,NA,NA,NA,25.799999237060547,4,80.45547348826037,82.41758241758241,NA,0.25799999237060545,NA,-54.65547425119982
33,1,0,0,FALSE,3,0,TRUE,2,NA,1,51.70000076293945,4,NA,NA,80.45547348826037,82.41758241758241,0.5170000076293946,NA,-30.717581654642956,NA
29,2,0,0,FALSE,2,0,TRUE,3,NA,0,0,2,NA,NA,80.45547348826037,82.41758241758241,0,NA,-82.41758241758241,NA
36,2,0,0,FALSE,4,1,TRUE,NA,3,NA,NA,NA,35.70000076293945,2,80.45547348826037,82.41758241758241,NA,0.35700000762939454,NA,-44.755472725320914
33,1,1,2,TRUE,4,1,TRUE,NA,2,NA,NA,NA,67.9000015258789,5,80.45547348826037,82.41758241758241,NA,0.6790000152587891,NA,-12.55547196238146
29,1,0,0,TRUE,3,0,TRUE,2,NA,1,90.5999984741211,5,NA,NA,80.45547348826037,82.41758241758241,0.9059999847412109,NA,8.182416056538685,NA
25,2,1,1,TRUE,3,0,TRUE,1,NA,1,74.19999694824219,3,NA,NA,80.45547348826037,82.41758241758241,0.7419999694824219,NA,-8.217585469340221,NA
24,2,0,0,TRUE,2,1,TRUE,NA,1,NA,NA,NA,0,1,80.45547348826037,82.41758241758241,NA,0,NA,-80.45547348826037
33,2,0,0,FALSE,6,1,TRUE,NA,4,NA,NA,NA,32.5,5,80.45547348826037,82.41758241758241,NA,0.325,NA,-47.95547348826037
29,2,0,0,FALSE,4,0,TRUE,2,NA,0,12.5,3,NA,NA,80.45547348826037,82.41758241758241,0.125,NA,-69.91758241758241,NA
26,1,0,0,FALSE,2,0,TRUE,3,NA,0,3.700000047683716,5,NA,NA,80.45547348826037,82.41758241758241,0.03700000047683716,NA,-78.7175823698987,NA
32,1,0,0,FALSE,3,1,TRUE,NA,2,NA,NA,NA,16.5,2,80.45547348826037,82.41758241758241,NA,0.165,NA,-63.95547348826037
34,1,1,2,TRUE,5,1,TRUE,NA,4,NA,NA,NA,76.80000305175781,5,80.45547348826037,82.41758241758241,NA,0.7680000305175781,NA,-3.6554704365025543
31,1,0,0,TRUE,3,0,TRUE,1,NA,0,30,4,NA,NA,80.45547348826037,82.41758241758241,0.3,NA,-52.41758241758241,NA
28,1,0,0,FALSE,2,1,TRUE,NA,4,NA,NA,NA,30.100000381469727,2,80.45547348826037,82.41758241758241,NA,0.30100000381469727,NA,-50.35547310679064
